delivery_id,order_id,date,delivery_slot,distance_km,time_taken_min,delivery_cost_inr,status
DEL00143,ORD00143,2024-03-13,12:00-15:00,34.41,153.4,116.48,Delivered
DEL00144,ORD00144,2024-03-04,09:00-12:00,21.02,63.5,77.16,Delivered
DEL00145,ORD00145,2024-03-05,09:00-12:00,30.69,113.7,97.68,Delivered
DEL00146,ORD00146,2024-03-18,12:00-15:00,37.17,105.8,129.41,Delivered
DEL00147,ORD00147,2024-03-14,09:00-12:00,44.37,121.1,152.15,Delivered
DEL00148,ORD00148,2024-03-23,18:00-21:00,14.2,45.0,74.04,Delivered
DEL00149,ORD00149,2024-03-03,18:00-21:00,10.33,39.1,72.03,Delivered
DEL00150,ORD00150,2024-03-13,15:00-18:00,37.32,146.7,131.37,Delivered
DEL00151,ORD00151,2024-03-21,09:00-12:00,37.01,165.5,113.34,Delivered
DEL00152,ORD00152,2024-03-27,12:00-15:00,30.41,121.5,109.61,Delivered
DEL00153,ORD00153,2024-03-25,09:00-12:00,1.1,3.9,34.02,Delivered
DEL00154,ORD00154,2024-03-27,15:00-18:00,37.77,166.7,129.97,Delivered
DEL00155,ORD00155,2024-03-11,18:00-21:00,23.3,79.4,115.83,Delivered
DEL00156,ORD00156,2024-03-16,09:00-12:00,15.66,62.3,63.24,Delivered
DEL00157,ORD00157,2024-03-11,18:00-21:00,12.32,47.4,66.3,Delivered
DEL00158,ORD00158,2024-03-12,15:00-18:00,28.21,112.0,110.64,Delivered
DEL00159,ORD00159,2024-03-13,12:00-15:00,1.81,6.5,37.69,Delivered
DEL00160,ORD00160,2024-03-08,12:00-15:00,43.62,113.6,150.96,Delivered
DEL00161,ORD00161,2024-03-25,15:00-18:00,16.21,65.5,84.31,Delayed
DEL00162,ORD00162,2024-03-01,15:00-18:00,19.38,53.5,83.73,Delivered
DEL00163,ORD00163,2024-03-20,12:00-15:00,18.67,70.1,72.83,Delivered
DEL00164,ORD00164,2024-03-23,09:00-12:00,19.95,87.7,73.42,Delivered
DEL00165,ORD00165,2024-03-28,12:00-15:00,32.77,111.7,123.9,Delayed
DEL00166,ORD00166,2024-03-26,18:00-21:00,29.12,86.7,114.86,Delivered
DEL00167,ORD00167,2024-03-29,18:00-21:00,1.05,3.7,36.17,Delivered
DEL00168,ORD00168,2024-03-11,12:00-15:00,17.66,71.1,73.62,Delivered
DEL00169,ORD00169,2024-03-06,12:00-15:00,35.43,147.7,118.81,Delivered
DEL00170,ORD00170,2024-03-30,09:00-12:00,6.62,20.8,42.05,Delivered
DEL00171,ORD00171,2024-03-18,12:00-15:00,30.6,137.1,102.01,Delivered
DEL00172,ORD00172,2024-03-20,09:00-12:00,35.3,103.1,123.72,Returned
DEL00173,ORD00173,2024-03-25,09:00-12:00,26.3,68.3,104.06,Delivered
DEL00174,ORD00174,2024-03-18,18:00-21:00,21.78,55.1,101.27,Delivered
DEL00175,ORD00175,2024-03-14,15:00-18:00,38.49,141.0,143.97,Delayed
DEL00176,ORD00176,2024-03-05,18:00-21:00,38.36,116.7,143.22,Delivered
DEL00177,ORD00177,2024-03-05,12:00-15:00,33.17,145.7,121.71,Delivered
DEL00178,ORD00178,2024-03-30,18:00-21:00,33.82,110.8,128.09,Delivered
DEL00179,ORD00179,2024-03-16,15:00-18:00,2.1,6.8,37.46,Delivered
DEL00180,ORD00180,2024-03-16,09:00-12:00,32.2,141.0,115.07,Delivered
DEL00181,ORD00181,2024-03-29,18:00-21:00,32.89,91.9,131.51,Delivered
DEL00182,ORD00182,2024-03-10,09:00-12:00,23.22,75.3,89.93,Delayed
DEL00183,ORD00183,2024-03-13,12:00-15:00,36.05,122.0,132.01,Delivered
DEL00184,ORD00184,2024-03-02,12:00-15:00,31.42,129.5,121.6,Delivered
DEL00185,ORD00185,2024-03-30,15:00-18:00,27.15,109.8,109.87,Delivered
DEL00186,ORD00186,2024-03-18,15:00-18:00,10.13,39.1,55.13,Delayed
DEL00187,ORD00187,2024-03-19,15:00-18:00,4.5,15.8,45.73,Delivered
DEL00188,ORD00188,2024-03-19,12:00-15:00,34.52,122.9,123.26,Delivered
DEL00189,ORD00189,2024-03-23,18:00-21:00,9.22,40.4,68.51,Delivered
DEL00190,ORD00190,2024-03-25,12:00-15:00,1.67,5.3,38.37,Delivered
DEL00191,ORD00191,2024-03-22,15:00-18:00,8.92,31.4,61.78,Delivered
DEL00192,ORD00192,2024-03-25,12:00-15:00,27.58,69.6,104.28,Delivered
DEL00193,ORD00193,2024-03-08,15:00-18:00,38.57,139.8,140.76,Delivered
DEL00194,ORD00194,2024-03-30,18:00-21:00,36.8,135.3,150.24,Delivered
DEL00195,ORD00195,2024-03-10,18:00-21:00,34.74,114.9,140.85,Delivered
DEL00196,ORD00196,2024-03-18,12:00-15:00,35.91,91.0,130.59,Delivered
DEL00197,ORD00197,2024-03-17,18:00-21:00,20.84,88.3,94.43,Delivered
DEL00198,ORD00198,2024-03-05,18:00-21:00,7.92,31.6,57.6,Delivered
DEL00199,ORD00199,2024-03-25,12:00-15:00,29.17,85.1,97.34,Delivered
DEL00200,ORD00200,2024-03-28,09:00-12:00,7.89,28.2,45.74,Delivered
DEL00201,ORD00201,2024-03-24,15:00-18:00,29.11,103.1,111.86,Delivered
DEL00202,ORD00202,2024-03-30,12:00-15:00,37.19,136.1,117.59,Delivered
DEL00203,ORD00203,2024-03-07,12:00-15:00,39.31,101.0,139.12,Delivered
DEL00204,ORD00204,2024-03-19,15:00-18:00,16.02,69.1,84.48,Delivered
DEL00205,ORD00205,2024-03-06,15:00-18:00,3.01,12.9,40.46,Delivered
DEL00206,ORD00206,2024-03-25,15:00-18:00,41.09,183.3,157.29,Delivered
DEL00207,ORD00207,2024-03-04,09:00-12:00,10.16,33.5,50.09,Delivered
DEL00208,ORD00208,2024-03-08,18:00-21:00,12.43,43.0,73.77,Returned
DEL00209,ORD00209,2024-03-25,18:00-21:00,22.78,58.8,106.72,Delivered
DEL00210,ORD00210,2024-03-03,12:00-15:00,14.11,58.5,72.57,Delivered
DEL00211,ORD00211,2024-03-15,18:00-21:00,35.28,121.9,128.03,Delivered
DEL00212,ORD00212,2024-03-17,09:00-12:00,28.96,77.1,103.92,Delivered
DEL00213,ORD00213,2024-03-24,09:00-12:00,24.82,95.4,94.34,Delayed
DEL00214,ORD00214,2024-03-16,15:00-18:00,6.31,25.3,47.14,Delivered
DEL00215,ORD00215,2024-03-30,15:00-18:00,34.32,98.1,127.08,Delayed
DEL00216,ORD00216,2024-03-13,15:00-18:00,30.97,122.9,121.69,Delivered
DEL00217,ORD00217,2024-03-18,15:00-18:00,28.21,122.9,113.46,Delivered
DEL00218,ORD00218,2024-03-29,12:00-15:00,40.3,152.2,125.83,Delivered
DEL00219,ORD00219,2024-03-02,09:00-12:00,44.2,147.7,138.11,Delivered
DEL00220,ORD00220,2024-03-07,12:00-15:00,22.27,77.4,98.79,Delivered
DEL00221,ORD00221,2024-03-25,18:00-21:00,26.22,88.8,111.14,Delivered
DEL00222,ORD00222,2024-03-19,09:00-12:00,19.49,76.1,72.98,Delivered
DEL00223,ORD00223,2024-03-11,18:00-21:00,2.1,9.3,40.17,Delivered
DEL00224,ORD00224,2024-03-23,18:00-21:00,40.65,117.3,166.22,Delivered
DEL00225,ORD00225,2024-03-13,15:00-18:00,29.66,97.1,104.83,Delivered
DEL00226,ORD00226,2024-03-13,12:00-15:00,28.96,82.7,108.06,Delivered
DEL00227,ORD00227,2024-03-11,18:00-21:00,15.54,67.9,90.7,Delivered
DEL00228,ORD00228,2024-03-08,15:00-18:00,3.61,11.2,46.83,Delivered
DEL00229,ORD00229,2024-03-29,12:00-15:00,36.52,118.9,124.39,Delivered
DEL00230,ORD00230,2024-03-02,18:00-21:00,31.61,81.4,123.26,Delivered
DEL00231,ORD00231,2024-03-11,15:00-18:00,17.62,49.3,86.39,Delayed
DEL00232,ORD00232,2024-03-21,12:00-15:00,38.72,127.6,126.09,Delivered
DEL00233,ORD00233,2024-03-29,09:00-12:00,7.17,32.1,44.39,Delivered
DEL00234,ORD00234,2024-03-14,12:00-15:00,17.81,79.6,82.0,Delivered
DEL00235,ORD00235,2024-03-02,09:00-12:00,21.86,56.8,76.83,Delivered
DEL00236,ORD00236,2024-03-14,09:00-12:00,18.31,80.9,74.72,Delivered
DEL00237,ORD00237,2024-03-22,12:00-15:00,11.42,40.6,66.49,Delivered
DEL00238,ORD00238,2024-03-09,12:00-15:00,39.96,120.3,127.24,Delivered
DEL00239,ORD00239,2024-03-28,18:00-21:00,24.91,85.1,100.53,Delivered
DEL00240,ORD00240,2024-03-16,18:00-21:00,36.48,139.4,131.64,Delivered
DEL00241,ORD00241,2024-03-28,12:00-15:00,21.72,90.4,94.0,Delivered
DEL00242,ORD00242,2024-03-02,12:00-15:00,32.68,124.5,122.6,Delayed
DEL00243,ORD00243,2024-03-19,15:00-18:00,21.07,85.0,95.21,Delivered
DEL00244,ORD00244,2024-03-19,18:00-21:00,12.94,49.9,76.88,Delivered
DEL00245,ORD00245,2024-03-12,18:00-21:00,33.57,108.8,137.79,Delivered
DEL00246,ORD00246,2024-03-09,18:00-21:00,34.28,87.2,137.45,Delivered
DEL00247,ORD00247,2024-03-20,12:00-15:00,10.91,36.0,62.92,Delivered
DEL00248,ORD00248,2024-03-11,15:00-18:00,21.29,80.2,95.73,Delivered
DEL00249,ORD00249,2024-03-06,09:00-12:00,34.02,137.3,124.75,Delivered
DEL00250,ORD00250,2024-03-20,18:00-21:00,41.99,175.0,177.43,Delivered
DEL00251,ORD00251,2024-03-24,18:00-21:00,1.91,7.1,42.42,Delivered
DEL00252,ORD00252,2024-03-09,15:00-18:00,28.23,82.9,118.12,Delivered
DEL00253,ORD00253,2024-03-12,18:00-21:00,37.28,114.3,147.34,Delivered
DEL00254,ORD00254,2024-03-13,15:00-18:00,32.51,91.8,120.01,Delivered
DEL00255,ORD00255,2024-03-20,15:00-18:00,34.92,107.5,130.01,Delayed
DEL00256,ORD00256,2024-03-26,09:00-12:00,37.93,161.4,117.18,Delivered
DEL00257,ORD00257,2024-03-18,18:00-21:00,2.09,7.5,43.22,Delivered
DEL00258,ORD00258,2024-03-03,15:00-18:00,2.15,5.5,38.62,Delivered
DEL00259,ORD00259,2024-03-23,18:00-21:00,2.03,8.2,41.19,Delivered
DEL00260,ORD00260,2024-03-26,09:00-12:00,16.38,52.3,67.57,Delivered
DEL00261,ORD00261,2024-03-12,18:00-21:00,36.75,123.8,154.32,Delivered
DEL00262,ORD00262,2024-03-09,18:00-21:00,13.79,60.6,80.64,Delivered
DEL00263,ORD00263,2024-03-25,18:00-21:00,10.28,27.4,62.02,Delivered
DEL00264,ORD00264,2024-03-03,18:00-21:00,21.73,90.0,107.64,Delivered
DEL00265,ORD00265,2024-03-12,09:00-12:00,28.92,121.0,93.15,Delivered
DEL00266,ORD00266,2024-03-23,12:00-15:00,16.35,56.4,69.42,Delivered
DEL00267,ORD00267,2024-03-06,12:00-15:00,43.14,190.4,158.69,Delivered
DEL00268,ORD00268,2024-03-24,09:00-12:00,31.15,111.8,115.76,Delivered
DEL00269,ORD00269,2024-03-25,15:00-18:00,40.9,163.5,153.7,Delivered
DEL00270,ORD00270,2024-03-09,18:00-21:00,12.36,51.7,79.41,Delivered
DEL00271,ORD00271,2024-03-28,12:00-15:00,29.04,103.7,110.7,Delivered
DEL00272,ORD00272,2024-03-04,12:00-15:00,31.42,133.9,118.84,Delivered
DEL00273,ORD00273,2024-03-06,18:00-21:00,4.48,14.5,46.14,Delivered
DEL00274,ORD00274,2024-03-11,18:00-21:00,1.91,8.1,40.1,Delivered
DEL00275,ORD00275,2024-03-18,18:00-21:00,3.64,14.1,51.44,Delivered
DEL00276,ORD00276,2024-03-19,12:00-15:00,35.27,97.1,134.57,Delivered
DEL00277,ORD00277,2024-03-25,09:00-12:00,5.4,21.1,43.02,Delivered
DEL00278,ORD00278,2024-03-25,09:00-12:00,23.73,84.5,80.41,Delivered
DEL00279,ORD00279,2024-03-02,09:00-12:00,5.17,19.7,47.08,Delivered
DEL00280,ORD00280,2024-03-19,12:00-15:00,20.97,70.4,85.08,Delivered
DEL00281,ORD00281,2024-03-19,15:00-18:00,11.25,30.0,62.24,Delayed
DEL00282,ORD00282,2024-03-17,09:00-12:00,7.7,22.4,48.44,Delivered
DEL00283,ORD00283,2024-03-05,18:00-21:00,29.75,75.1,115.59,Delivered
DEL00284,ORD00284,2024-03-09,15:00-18:00,34.65,123.6,139.47,Delivered
DEL00285,ORD00285,2024-03-16,15:00-18:00,24.14,80.6,98.06,Delivered
DEL00286,ORD00286,2024-03-14,12:00-15:00,33.48,103.2,114.78,Delivered
DEL00287,ORD00287,2024-03-29,09:00-12:00,40.0,148.6,126.1,Delivered
DEL00288,ORD00288,2024-03-14,15:00-18:00,14.68,46.6,74.09,Delivered
DEL00289,ORD00289,2024-03-09,18:00-21:00,28.98,83.2,117.82,Delivered
DEL00290,ORD00290,2024-03-25,12:00-15:00,8.59,37.4,53.61,Delivered
DEL00291,ORD00291,2024-03-19,09:00-12:00,24.69,93.3,97.86,Delivered
DEL00292,ORD00292,2024-03-16,15:00-18:00,22.62,90.6,94.87,Delivered
DEL00293,ORD00293,2024-03-05,09:00-12:00,30.94,82.8,108.91,Delivered
DEL00294,ORD00294,2024-03-06,18:00-21:00,28.57,84.3,118.93,Delivered
DEL00295,ORD00295,2024-03-05,15:00-18:00,8.09,24.3,57.1,Delivered
DEL00296,ORD00296,2024-03-03,09:00-12:00,22.14,59.8,90.96,Delivered
DEL00297,ORD00297,2024-03-17,18:00-21:00,30.76,114.7,115.89,Delivered
DEL00298,ORD00298,2024-03-16,15:00-18:00,32.35,124.8,133.34,Delivered
DEL00299,ORD00299,2024-03-27,09:00-12:00,36.02,115.3,127.51,Delivered
DEL00300,ORD00300,2024-03-01,18:00-21:00,44.81,166.7,156.71,Delivered
DEL00301,ORD00301,2024-03-18,12:00-15:00,17.72,70.4,80.63,Delivered
DEL00302,ORD00302,2024-03-13,18:00-21:00,7.2,22.4,52.51,Delivered
DEL00303,ORD00303,2024-03-03,15:00-18:00,41.08,161.7,135.78,Delivered
DEL00304,ORD00304,2024-03-05,12:00-15:00,19.42,62.6,85.81,Delivered
DEL00305,ORD00305,2024-03-28,18:00-21:00,43.44,169.9,169.93,Delivered
DEL00306,ORD00306,2024-03-19,18:00-21:00,31.21,92.4,132.97,Delivered
DEL00307,ORD00307,2024-03-06,09:00-12:00,36.39,112.2,121.1,Delivered
DEL00308,ORD00308,2024-03-16,12:00-15:00,18.32,82.0,86.34,Delivered
DEL00309,ORD00309,2024-03-24,09:00-12:00,36.92,159.4,126.79,Delivered
DEL00310,ORD00310,2024-03-02,15:00-18:00,35.07,126.1,127.74,Delivered
DEL00311,ORD00311,2024-03-01,18:00-21:00,34.61,136.3,128.28,Delayed
DEL00312,ORD00312,2024-03-25,09:00-12:00,33.08,126.5,110.39,Delivered
DEL00313,ORD00313,2024-03-18,09:00-12:00,35.83,159.1,112.23,Delivered
DEL00314,ORD00314,2024-03-17,15:00-18:00,26.33,115.4,96.09,Delivered
DEL00315,ORD00315,2024-03-08,09:00-12:00,29.11,127.0,96.93,Delivered
DEL00316,ORD00316,2024-03-21,12:00-15:00,13.06,43.3,66.67,Delivered
