order_id,timestamp,date,hour,day_of_week,sku_id,quantity,picker_id,delivery_slot,fulfillment_time_min,status
ORD00024,2024-03-17 13:57:00,2024-03-17,13,Sunday,SKU036,3,P02,15:00-18:00,80,Delivered
ORD00025,2024-03-20 11:52:00,2024-03-20,11,Wednesday,SKU034,4,P05,12:00-15:00,49,Delivered
ORD00026,2024-03-08 22:39:00,2024-03-08,22,Friday,SKU031,2,P08,18:00-21:00,88,Delivered
ORD00027,2024-03-23 11:25:00,2024-03-23,11,Saturday,SKU010,1,P02,18:00-21:00,53,Delivered
ORD00028,2024-03-23 14:03:00,2024-03-23,14,Saturday,SKU019,2,P08,12:00-15:00,74,Delivered
ORD00029,2024-03-18 15:48:00,2024-03-18,15,Monday,SKU032,10,P07,18:00-21:00,35,Delivered
ORD00030,2024-03-16 12:48:00,2024-03-16,12,Saturday,SKU010,5,P08,12:00-15:00,69,Delivered
ORD00031,2024-03-10 09:21:00,2024-03-10,9,Sunday,SKU012,9,P02,12:00-15:00,34,Delivered
ORD00032,2024-03-23 08:13:00,2024-03-23,8,Saturday,SKU004,7,P06,18:00-21:00,68,Delivered
ORD00033,2024-03-27 12:57:00,2024-03-27,12,Wednesday,SKU028,1,P07,18:00-21:00,31,Delivered
ORD00034,2024-03-13 19:53:00,2024-03-13,19,Wednesday,SKU015,9,P04,18:00-21:00,56,Delivered
ORD00035,2024-03-01 11:42:00,2024-03-01,11,Friday,SKU026,7,P03,18:00-21:00,36,Returned
ORD00036,2024-03-19 15:01:00,2024-03-19,15,Tuesday,SKU004,7,P03,18:00-21:00,38,Delivered
ORD00037,2024-03-13 11:29:00,2024-03-13,11,Wednesday,SKU012,7,P05,18:00-21:00,54,Delivered
ORD00038,2024-03-24 14:22:00,2024-03-24,14,Sunday,SKU009,2,P01,09:00-12:00,46,Delivered
ORD00039,2024-03-01 16:15:00,2024-03-01,16,Friday,SKU006,2,P04,18:00-21:00,47,Delivered
ORD00040,2024-03-06 16:47:00,2024-03-06,16,Wednesday,SKU027,3,P05,09:00-12:00,89,Delivered
ORD00041,2024-03-10 15:58:00,2024-03-10,15,Sunday,SKU035,7,P04,09:00-12:00,90,Delivered
ORD00042,2024-03-21 10:44:00,2024-03-21,10,Thursday,SKU028,10,P02,09:00-12:00,77,Delivered
ORD00043,2024-03-03 14:21:00,2024-03-03,14,Sunday,SKU002,7,P08,09:00-12:00,70,Delayed
ORD00044,2024-03-21 19:29:00,2024-03-21,19,Thursday,SKU027,7,P03,15:00-18:00,103,Delivered
ORD00045,2024-03-27 17:17:00,2024-03-27,17,Wednesday,SKU012,4,P02,15:00-18:00,84,Delivered
ORD00046,2024-03-19 16:24:00,2024-03-19,16,Tuesday,SKU013,8,P06,12:00-15:00,77,Delivered
ORD00047,2024-03-26 10:17:00,2024-03-26,10,Tuesday,SKU031,5,P01,12:00-15:00,37,Delivered
ORD00048,2024-03-16 15:15:00,2024-03-16,15,Saturday,SKU027,8,P08,09:00-12:00,26,Delivered
ORD00049,2024-03-13 17:19:00,2024-03-13,17,Wednesday,SKU025,6,P08,15:00-18:00,84,Delivered
ORD00050,2024-03-15 10:16:00,2024-03-15,10,Friday,SKU010,4,P06,09:00-12:00,93,Delivered
ORD00051,2024-03-24 13:46:00,2024-03-24,13,Sunday,SKU022,9,P05,09:00-12:00,39,Delivered
ORD00052,2024-03-12 09:00:00,2024-03-12,9,Tuesday,SKU027,3,P05,09:00-12:00,21,Delivered
ORD00053,2024-03-23 20:40:00,2024-03-23,20,Saturday,SKU031,8,P02,09:00-12:00,102,Delivered
ORD00054,2024-03-15 11:03:00,2024-03-15,11,Friday,SKU010,8,P02,09:00-12:00,86,Delivered
ORD00055,2024-03-21 17:09:00,2024-03-21,17,Thursday,SKU007,10,P05,09:00-12:00,54,Delivered
ORD00056,2024-03-14 16:50:00,2024-03-14,16,Thursday,SKU022,9,P07,18:00-21:00,71,Delivered
ORD00057,2024-03-19 22:19:00,2024-03-19,22,Tuesday,SKU020,1,P02,12:00-15:00,42,Delivered
ORD00058,2024-03-03 08:11:00,2024-03-03,8,Sunday,SKU019,3,P01,18:00-21:00,72,Delivered
ORD00059,2024-03-16 10:14:00,2024-03-16,10,Saturday,SKU011,5,P08,09:00-12:00,57,Delivered
ORD00060,2024-03-21 15:51:00,2024-03-21,15,Thursday,SKU034,7,P02,12:00-15:00,34,Returned
ORD00061,2024-03-27 08:03:00,2024-03-27,8,Wednesday,SKU008,5,P05,18:00-21:00,30,Delivered
ORD00062,2024-03-10 17:17:00,2024-03-10,17,Sunday,SKU018,8,P08,09:00-12:00,38,Delivered
ORD00063,2024-03-20 10:05:00,2024-03-20,10,Wednesday,SKU010,10,P01,15:00-18:00,94,Delivered
ORD00064,2024-03-06 13:41:00,2024-03-06,13,Wednesday,SKU016,5,P03,18:00-21:00,77,Delayed
ORD00065,2024-03-16 11:21:00,2024-03-16,11,Saturday,SKU012,2,P03,15:00-18:00,87,Delivered
ORD00066,2024-03-13 18:35:00,2024-03-13,18,Wednesday,SKU003,2,P06,15:00-18:00,64,Delayed
ORD00067,2024-03-13 19:52:00,2024-03-13,19,Wednesday,SKU036,9,P08,18:00-21:00,32,Delivered
ORD00068,2024-03-20 18:40:00,2024-03-20,18,Wednesday,SKU016,1,P04,15:00-18:00,94,Returned
ORD00069,2024-03-15 19:31:00,2024-03-15,19,Friday,SKU006,10,P04,12:00-15:00,59,Delivered
ORD00070,2024-03-03 09:53:00,2024-03-03,9,Sunday,SKU034,8,P02,12:00-15:00,78,Returned
ORD00071,2024-03-10 14:17:00,2024-03-10,14,Sunday,SKU015,8,P08,12:00-15:00,73,Delivered
ORD00072,2024-03-13 09:38:00,2024-03-13,9,Wednesday,SKU018,3,P02,15:00-18:00,68,Delivered
ORD00073,2024-03-26 14:52:00,2024-03-26,14,Tuesday,SKU001,5,P08,12:00-15:00,72,Delivered
ORD00074,2024-03-12 11:48:00,2024-03-12,11,Tuesday,SKU019,8,P06,12:00-15:00,62,Delivered
ORD00075,2024-03-25 12:20:00,2024-03-25,12,Monday,SKU028,7,P07,12:00-15:00,84,Delivered
ORD00076,2024-03-19 11:06:00,2024-03-19,11,Tuesday,SKU031,8,P02,18:00-21:00,25,Delivered
ORD00077,2024-03-21 21:04:00,2024-03-21,21,Thursday,SKU018,5,P06,18:00-21:00,25,Delivered
ORD00078,2024-03-28 17:34:00,2024-03-28,17,Thursday,SKU014,6,P08,09:00-12:00,35,Delivered
ORD00079,2024-03-30 10:14:00,2024-03-30,10,Saturday,SKU028,7,P02,09:00-12:00,81,Delivered
ORD00080,2024-03-29 03:20:00,2024-03-29,3,Friday,SKU029,5,P06,15:00-18:00,70,Delivered
ORD00081,2024-03-17 12:43:00,2024-03-17,12,Sunday,SKU029,3,P03,09:00-12:00,75,Delivered
ORD00082,2024-03-19 08:29:00,2024-03-19,8,Tuesday,SKU024,8,P05,09:00-12:00,74,Returned
ORD00083,2024-03-22 14:04:00,2024-03-22,14,Friday,SKU016,6,P05,18:00-21:00,47,Delivered
ORD00084,2024-03-10 09:24:00,2024-03-10,9,Sunday,SKU031,2,P04,18:00-21:00,88,Delivered
ORD00085,2024-03-10 23:18:00,2024-03-10,23,Sunday,SKU003,7,P05,09:00-12:00,87,Delivered
ORD00086,2024-03-25 17:03:00,2024-03-25,17,Monday,SKU033,8,P05,12:00-15:00,72,Delivered
ORD00087,2024-03-20 10:48:00,2024-03-20,10,Wednesday,SKU027,3,P02,09:00-12:00,73,Delivered
ORD00088,2024-03-12 17:05:00,2024-03-12,17,Tuesday,SKU033,6,P07,12:00-15:00,49,Delivered
ORD00089,2024-03-29 21:33:00,2024-03-29,21,Friday,SKU018,5,P03,15:00-18:00,76,Delayed
ORD00090,2024-03-10 17:21:00,2024-03-10,17,Sunday,SKU029,8,P02,12:00-15:00,60,Delayed
ORD00091,2024-03-26 15:05:00,2024-03-26,15,Tuesday,SKU029,1,P05,09:00-12:00,73,Delivered
ORD00092,2024-03-24 17:37:00,2024-03-24,17,Sunday,SKU015,6,P02,12:00-15:00,80,Delivered
ORD00093,2024-03-18 11:39:00,2024-03-18,11,Monday,SKU009,2,P08,15:00-18:00,75,Delivered
ORD00094,2024-03-02 10:31:00,2024-03-02,10,Saturday,SKU006,4,P03,18:00-21:00,89,Delivered
ORD00095,2024-03-24 17:34:00,2024-03-24,17,Sunday,SKU015,3,P07,09:00-12:00,95,Returned
ORD00096,2024-03-09 03:23:00,2024-03-09,3,Saturday,SKU009,8,P04,15:00-18:00,27,Delayed
ORD00097,2024-03-12 14:41:00,2024-03-12,14,Tuesday,SKU014,7,P05,12:00-15:00,30,Returned
ORD00098,2024-03-27 12:42:00,2024-03-27,12,Wednesday,SKU009,10,P01,09:00-12:00,69,Delayed
ORD00099,2024-03-26 15:04:00,2024-03-26,15,Tuesday,SKU030,9,P04,12:00-15:00,44,Delivered
ORD00100,2024-03-05 18:38:00,2024-03-05,18,Tuesday,SKU001,3,P03,15:00-18:00,45,Delivered
ORD00101,2024-03-01 08:22:00,2024-03-01,8,Friday,SKU029,4,P06,09:00-12:00,37,Delivered
ORD00102,2024-03-05 17:33:00,2024-03-05,17,Tuesday,SKU006,2,P08,18:00-21:00,69,Delivered
ORD00103,2024-03-08 20:02:00,2024-03-08,20,Friday,SKU027,9,P05,18:00-21:00,24,Delayed
ORD00104,2024-03-28 11:43:00,2024-03-28,11,Thursday,SKU006,8,P02,09:00-12:00,65,Delivered
ORD00105,2024-03-09 16:37:00,2024-03-09,16,Saturday,SKU019,6,P07,15:00-18:00,73,Delivered
ORD00106,2024-03-14 07:44:00,2024-03-14,7,Thursday,SKU006,9,P04,18:00-21:00,72,Delivered
ORD00107,2024-03-14 11:29:00,2024-03-14,11,Thursday,SKU015,2,P06,18:00-21:00,68,Delivered
ORD00108,2024-03-05 17:30:00,2024-03-05,17,Tuesday,SKU004,2,P02,18:00-21:00,43,Delivered
ORD00109,2024-03-18 06:35:00,2024-03-18,6,Monday,SKU020,2,P07,15:00-18:00,69,Delivered
ORD00110,2024-03-24 06:18:00,2024-03-24,6,Sunday,SKU022,6,P02,12:00-15:00,34,Delivered
ORD00111,2024-03-08 19:22:00,2024-03-08,19,Friday,SKU030,6,P02,15:00-18:00,100,Delivered
ORD00112,2024-03-28 15:49:00,2024-03-28,15,Thursday,SKU029,10,P01,15:00-18:00,18,Delivered
ORD00113,2024-03-23 18:58:00,2024-03-23,18,Saturday,SKU013,1,P03,12:00-15:00,104,Delivered
ORD00114,2024-03-24 16:01:00,2024-03-24,16,Sunday,SKU004,9,P04,18:00-21:00,68,Delivered
ORD00115,2024-03-06 11:46:00,2024-03-06,11,Wednesday,SKU012,10,P02,09:00-12:00,44,Delivered
ORD00116,2024-03-02 17:17:00,2024-03-02,17,Saturday,SKU016,7,P08,18:00-21:00,81,Delivered
ORD00117,2024-03-17 08:27:00,2024-03-17,8,Sunday,SKU006,10,P08,15:00-18:00,20,Delivered
ORD00118,2024-03-20 06:13:00,2024-03-20,6,Wednesday,SKU012,4,P03,15:00-18:00,52,Delivered
ORD00119,2024-03-01 13:27:00,2024-03-01,13,Friday,SKU009,7,P04,15:00-18:00,24,Delivered
ORD00120,2024-03-24 04:01:00,2024-03-24,4,Sunday,SKU017,2,P06,18:00-21:00,88,Delivered
ORD00121,2024-03-21 12:07:00,2024-03-21,12,Thursday,SKU015,6,P03,18:00-21:00,68,Delivered
ORD00122,2024-03-04 10:37:00,2024-03-04,10,Monday,SKU015,2,P07,15:00-18:00,70,Delivered
ORD00123,2024-03-06 07:40:00,2024-03-06,7,Wednesday,SKU006,9,P04,15:00-18:00,59,Delivered
ORD00124,2024-03-27 16:09:00,2024-03-27,16,Wednesday,SKU010,3,P05,12:00-15:00,37,Delivered
ORD00125,2024-03-25 18:04:00,2024-03-25,18,Monday,SKU009,8,P08,18:00-21:00,102,Delivered
ORD00126,2024-03-21 10:28:00,2024-03-21,10,Thursday,SKU004,8,P05,15:00-18:00,96,Delivered
ORD00127,2024-03-03 10:28:00,2024-03-03,10,Sunday,SKU003,6,P05,09:00-12:00,43,Delivered
ORD00128,2024-03-18 21:47:00,2024-03-18,21,Monday,SKU033,8,P04,15:00-18:00,75,Delivered
ORD00129,2024-03-02 12:51:00,2024-03-02,12,Saturday,SKU033,6,P02,12:00-15:00,32,Delivered
ORD00130,2024-03-15 14:39:00,2024-03-15,14,Friday,SKU008,6,P05,18:00-21:00,67,Delivered
ORD00131,2024-03-22 15:50:00,2024-03-22,15,Friday,SKU022,6,P02,15:00-18:00,27,Delivered
ORD00132,2024-03-13 10:46:00,2024-03-13,10,Wednesday,SKU031,10,P03,15:00-18:00,34,Returned
ORD00133,2024-03-10 21:44:00,2024-03-10,21,Sunday,SKU025,3,P02,15:00-18:00,86,Delivered
ORD00134,2024-03-26 11:08:00,2024-03-26,11,Tuesday,SKU025,9,P02,18:00-21:00,96,Delivered
ORD00135,2024-03-10 09:13:00,2024-03-10,9,Sunday,SKU013,8,P04,12:00-15:00,32,Delivered
ORD00136,2024-03-10 19:06:00,2024-03-10,19,Sunday,SKU018,9,P01,15:00-18:00,48,Delivered
ORD00137,2024-03-06 18:49:00,2024-03-06,18,Wednesday,SKU022,3,P08,09:00-12:00,83,Delivered
ORD00138,2024-03-08 21:39:00,2024-03-08,21,Friday,SKU011,8,P04,12:00-15:00,54,Delayed
ORD00139,2024-03-26 13:53:00,2024-03-26,13,Tuesday,SKU009,10,P08,18:00-21:00,51,Delivered
ORD00140,2024-03-17 14:10:00,2024-03-17,14,Sunday,SKU029,10,P03,15:00-18:00,21,Delivered
ORD00141,2024-03-28 11:59:00,2024-03-28,11,Thursday,SKU005,9,P02,15:00-18:00,35,Delivered
ORD00142,2024-03-29 14:53:00,2024-03-29,14,Friday,SKU016,4,P08,15:00-18:00,18,Delivered
ORD00143,2024-03-13 13:15:00,2024-03-13,13,Wednesday,SKU015,2,P06,12:00-15:00,18,Delivered
ORD00144,2024-03-04 19:41:00,2024-03-04,19,Monday,SKU013,3,P03,09:00-12:00,71,Delivered
ORD00145,2024-03-05 18:30:00,2024-03-05,18,Tuesday,SKU016,1,P02,09:00-12:00,58,Delivered
ORD00146,2024-03-18 20:38:00,2024-03-18,20,Monday,SKU019,2,P05,12:00-15:00,61,Delivered
ORD00147,2024-03-14 16:39:00,2024-03-14,16,Thursday,SKU017,2,P08,09:00-12:00,80,Delivered
ORD00148,2024-03-23 08:27:00,2024-03-23,8,Saturday,SKU001,6,P04,18:00-21:00,38,Delivered
ORD00149,2024-03-03 14:23:00,2024-03-03,14,Sunday,SKU004,9,P01,18:00-21:00,75,Delivered
ORD00150,2024-03-13 22:16:00,2024-03-13,22,Wednesday,SKU028,6,P02,15:00-18:00,45,Delivered
ORD00151,2024-03-21 08:37:00,2024-03-21,8,Thursday,SKU028,6,P03,09:00-12:00,60,Delivered
ORD00152,2024-03-27 16:53:00,2024-03-27,16,Wednesday,SKU029,8,P08,12:00-15:00,32,Delivered
ORD00153,2024-03-25 20:02:00,2024-03-25,20,Monday,SKU012,1,P04,09:00-12:00,69,Delivered
ORD00154,2024-03-27 14:16:00,2024-03-27,14,Wednesday,SKU003,4,P05,15:00-18:00,21,Delivered
ORD00155,2024-03-11 10:51:00,2024-03-11,10,Monday,SKU014,7,P08,18:00-21:00,68,Delivered
ORD00156,2024-03-16 11:51:00,2024-03-16,11,Saturday,SKU019,2,P07,09:00-12:00,80,Delivered
ORD00157,2024-03-11 08:20:00,2024-03-11,8,Monday,SKU025,5,P08,18:00-21:00,36,Delivered
ORD00158,2024-03-12 12:46:00,2024-03-12,12,Tuesday,SKU031,6,P07,15:00-18:00,29,Delivered
ORD00159,2024-03-13 11:51:00,2024-03-13,11,Wednesday,SKU028,3,P01,12:00-15:00,77,Delivered
ORD00160,2024-03-08 18:23:00,2024-03-08,18,Friday,SKU014,10,P01,12:00-15:00,88,Delivered
ORD00161,2024-03-25 07:08:00,2024-03-25,7,Monday,SKU019,7,P06,15:00-18:00,46,Delayed
ORD00162,2024-03-01 17:31:00,2024-03-01,17,Friday,SKU019,9,P02,15:00-18:00,67,Delivered
ORD00163,2024-03-20 10:58:00,2024-03-20,10,Wednesday,SKU036,4,P02,12:00-15:00,43,Delivered
ORD00164,2024-03-23 12:05:00,2024-03-23,12,Saturday,SKU029,6,P06,09:00-12:00,99,Delivered
ORD00165,2024-03-28 08:45:00,2024-03-28,8,Thursday,SKU034,3,P06,12:00-15:00,30,Delayed
ORD00166,2024-03-26 08:50:00,2024-03-26,8,Tuesday,SKU018,6,P06,18:00-21:00,85,Delivered
ORD00167,2024-03-29 07:19:00,2024-03-29,7,Friday,SKU015,8,P07,18:00-21:00,88,Delivered
ORD00168,2024-03-11 16:28:00,2024-03-11,16,Monday,SKU018,9,P06,12:00-15:00,85,Delivered
ORD00169,2024-03-06 18:08:00,2024-03-06,18,Wednesday,SKU016,1,P02,12:00-15:00,63,Delivered
ORD00170,2024-03-30 17:22:00,2024-03-30,17,Saturday,SKU034,9,P05,09:00-12:00,58,Delivered
ORD00171,2024-03-18 10:40:00,2024-03-18,10,Monday,SKU012,9,P02,12:00-15:00,99,Delivered
ORD00172,2024-03-20 17:38:00,2024-03-20,17,Wednesday,SKU013,10,P01,09:00-12:00,31,Returned
ORD00173,2024-03-25 15:41:00,2024-03-25,15,Monday,SKU009,10,P07,09:00-12:00,78,Delivered
ORD00174,2024-03-18 10:19:00,2024-03-18,10,Monday,SKU018,7,P05,18:00-21:00,30,Delivered
ORD00175,2024-03-14 13:13:00,2024-03-14,13,Thursday,SKU013,3,P06,15:00-18:00,59,Delayed
ORD00176,2024-03-05 18:32:00,2024-03-05,18,Tuesday,SKU020,6,P04,18:00-21:00,43,Delivered
ORD00177,2024-03-05 07:18:00,2024-03-05,7,Tuesday,SKU034,10,P07,12:00-15:00,35,Delivered
ORD00178,2024-03-30 15:20:00,2024-03-30,15,Saturday,SKU009,3,P08,18:00-21:00,78,Delivered
ORD00179,2024-03-16 02:25:00,2024-03-16,2,Saturday,SKU018,4,P04,15:00-18:00,21,Delivered
ORD00180,2024-03-16 15:53:00,2024-03-16,15,Saturday,SKU025,8,P05,09:00-12:00,28,Delivered
ORD00181,2024-03-29 10:23:00,2024-03-29,10,Friday,SKU028,6,P01,18:00-21:00,32,Delivered
ORD00182,2024-03-10 07:32:00,2024-03-10,7,Sunday,SKU017,9,P05,09:00-12:00,31,Delayed
ORD00183,2024-03-13 11:21:00,2024-03-13,11,Wednesday,SKU019,6,P03,12:00-15:00,97,Delivered
ORD00184,2024-03-02 04:45:00,2024-03-02,4,Saturday,SKU012,8,P08,12:00-15:00,80,Delivered
ORD00185,2024-03-30 16:10:00,2024-03-30,16,Saturday,SKU015,10,P05,15:00-18:00,79,Delivered
ORD00186,2024-03-18 13:36:00,2024-03-18,13,Monday,SKU012,1,P06,15:00-18:00,29,Delayed
ORD00187,2024-03-19 10:57:00,2024-03-19,10,Tuesday,SKU027,1,P08,15:00-18:00,101,Delivered
ORD00188,2024-03-19 13:33:00,2024-03-19,13,Tuesday,SKU022,10,P07,12:00-15:00,46,Delivered
ORD00189,2024-03-23 08:01:00,2024-03-23,8,Saturday,SKU016,7,P03,18:00-21:00,41,Delivered
ORD00190,2024-03-25 16:30:00,2024-03-25,16,Monday,SKU031,1,P03,12:00-15:00,86,Delivered
ORD00191,2024-03-22 13:24:00,2024-03-22,13,Friday,SKU012,3,P08,15:00-18:00,84,Delivered
ORD00192,2024-03-25 19:43:00,2024-03-25,19,Monday,SKU024,5,P08,12:00-15:00,59,Delivered
ORD00193,2024-03-08 20:19:00,2024-03-08,20,Friday,SKU028,4,P08,15:00-18:00,92,Delivered
ORD00194,2024-03-30 18:17:00,2024-03-30,18,Saturday,SKU011,10,P07,18:00-21:00,68,Delivered
ORD00195,2024-03-10 21:05:00,2024-03-10,21,Sunday,SKU013,8,P05,18:00-21:00,42,Delivered
ORD00196,2024-03-18 10:35:00,2024-03-18,10,Monday,SKU027,3,P02,12:00-15:00,52,Delivered
ORD00197,2024-03-17 09:14:00,2024-03-17,9,Sunday,SKU003,7,P06,18:00-21:00,27,Delivered
ORD00198,2024-03-05 00:35:00,2024-03-05,0,Tuesday,SKU036,3,P07,18:00-21:00,76,Delivered
ORD00199,2024-03-25 21:20:00,2024-03-25,21,Monday,SKU011,1,P02,12:00-15:00,83,Delivered
ORD00200,2024-03-28 20:58:00,2024-03-28,20,Thursday,SKU034,7,P03,09:00-12:00,85,Delivered
ORD00201,2024-03-24 21:59:00,2024-03-24,21,Sunday,SKU011,1,P01,15:00-18:00,87,Delivered
ORD00202,2024-03-30 22:18:00,2024-03-30,22,Saturday,SKU017,9,P08,12:00-15:00,79,Delivered
ORD00203,2024-03-07 18:21:00,2024-03-07,18,Thursday,SKU008,8,P05,12:00-15:00,31,Delivered
ORD00204,2024-03-19 17:12:00,2024-03-19,17,Tuesday,SKU009,7,P07,15:00-18:00,43,Delivered
ORD00205,2024-03-06 22:30:00,2024-03-06,22,Wednesday,SKU012,4,P01,15:00-18:00,64,Delivered
ORD00206,2024-03-25 10:21:00,2024-03-25,10,Monday,SKU012,10,P01,15:00-18:00,73,Delivered
ORD00207,2024-03-04 13:10:00,2024-03-04,13,Monday,SKU015,9,P05,09:00-12:00,52,Delivered
ORD00208,2024-03-08 09:08:00,2024-03-08,9,Friday,SKU018,8,P06,18:00-21:00,85,Returned
ORD00209,2024-03-25 14:42:00,2024-03-25,14,Monday,SKU030,4,P02,18:00-21:00,82,Delivered
ORD00210,2024-03-03 20:07:00,2024-03-03,20,Sunday,SKU004,9,P04,12:00-15:00,51,Delivered
ORD00211,2024-03-15 08:13:00,2024-03-15,8,Friday,SKU027,8,P02,18:00-21:00,22,Delivered
ORD00212,2024-03-17 12:36:00,2024-03-17,12,Sunday,SKU003,8,P05,09:00-12:00,78,Delivered
ORD00213,2024-03-24 09:04:00,2024-03-24,9,Sunday,SKU003,6,P02,09:00-12:00,23,Delayed
ORD00214,2024-03-16 03:26:00,2024-03-16,3,Saturday,SKU009,3,P07,15:00-18:00,63,Delivered
ORD00215,2024-03-30 20:24:00,2024-03-30,20,Saturday,SKU004,9,P03,15:00-18:00,40,Delayed
ORD00216,2024-03-13 14:46:00,2024-03-13,14,Wednesday,SKU036,1,P01,15:00-18:00,74,Delivered
ORD00217,2024-03-18 12:24:00,2024-03-18,12,Monday,SKU029,4,P08,15:00-18:00,47,Delivered
ORD00218,2024-03-29 17:07:00,2024-03-29,17,Friday,SKU003,7,P01,12:00-15:00,48,Delivered
ORD00219,2024-03-02 12:43:00,2024-03-02,12,Saturday,SKU027,1,P04,09:00-12:00,85,Delivered
ORD00220,2024-03-07 18:49:00,2024-03-07,18,Thursday,SKU003,9,P05,12:00-15:00,103,Delivered
ORD00221,2024-03-25 17:20:00,2024-03-25,17,Monday,SKU010,3,P04,18:00-21:00,66,Delivered
ORD00222,2024-03-19 19:58:00,2024-03-19,19,Tuesday,SKU008,7,P08,09:00-12:00,76,Delivered
ORD00223,2024-03-11 17:26:00,2024-03-11,17,Monday,SKU007,7,P03,18:00-21:00,57,Delivered
ORD00224,2024-03-23 08:29:00,2024-03-23,8,Saturday,SKU034,9,P07,18:00-21:00,86,Delivered
ORD00225,2024-03-13 10:13:00,2024-03-13,10,Wednesday,SKU012,2,P08,15:00-18:00,37,Delivered
ORD00226,2024-03-13 17:38:00,2024-03-13,17,Wednesday,SKU003,2,P04,12:00-15:00,87,Delivered
ORD00227,2024-03-11 10:58:00,2024-03-11,10,Monday,SKU002,4,P02,18:00-21:00,57,Delivered
ORD00228,2024-03-08 15:49:00,2024-03-08,15,Friday,SKU011,8,P06,15:00-18:00,48,Delivered
ORD00229,2024-03-29 13:06:00,2024-03-29,13,Friday,SKU029,8,P06,12:00-15:00,62,Delivered
ORD00230,2024-03-02 15:14:00,2024-03-02,15,Saturday,SKU028,1,P05,18:00-21:00,52,Delivered
ORD00231,2024-03-11 09:36:00,2024-03-11,9,Monday,SKU030,8,P06,15:00-18:00,77,Delayed
ORD00232,2024-03-21 17:29:00,2024-03-21,17,Thursday,SKU008,6,P03,12:00-15:00,104,Delivered
ORD00233,2024-03-29 14:41:00,2024-03-29,14,Friday,SKU035,9,P01,09:00-12:00,21,Delivered
ORD00234,2024-03-14 08:40:00,2024-03-14,8,Thursday,SKU010,3,P01,12:00-15:00,79,Delivered
ORD00235,2024-03-02 16:42:00,2024-03-02,16,Saturday,SKU034,8,P08,09:00-12:00,15,Delivered
ORD00236,2024-03-14 01:33:00,2024-03-14,1,Thursday,SKU027,9,P05,09:00-12:00,79,Delivered
ORD00237,2024-03-22 12:58:00,2024-03-22,12,Friday,SKU009,2,P03,12:00-15:00,52,Delivered
ORD00238,2024-03-09 18:05:00,2024-03-09,18,Saturday,SKU014,7,P08,12:00-15:00,57,Delivered
ORD00239,2024-03-28 07:54:00,2024-03-28,7,Thursday,SKU025,1,P02,18:00-21:00,63,Delivered
